question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
What is the name of the patented respiratory device developed by AIIMS Raipur to curb airborne infections in May 2023?,RespiraSafe,AirGuard,OxyShield,HOAC Combo,3,General Awareness,2023
"On 21 May 2025, the Director General of Health Services (DGHS) in Delhi was appointed to oversee the implementation of which two major healthcare initiatives?",Fit India Movement and Swachh Bharat Abhiyan,PM-JAY and National Digital Health Mission,Ayushman Bharat Health Infrastructure Mission and Ayushman Arogya Mandir,National Health Stack and eSanjeevani,2,General Awareness,2023
In which of the following groups does hydrogen belong?,Group 2,Group 17,Group 1,Group 18,2,General Awareness,2023
"Which of the following actions will permanently delete a file from an MS Windows system, bypassing the Recycle Bin?",Pressing the Delete key,Dragging the file to the Recycle Bin,Selecting the file and pressing Shift + Delete keys,Right-clicking on the file and selecting 'Delete',2,General Awareness,2023
In which of the following years was the Right to Information Act passed?,1973,2005,1999,2007,1,General Awareness,2023
The Kopili Hydro Electric Project is located in which Indian state?,Arunachal Pradesh,Assam,Sikkim,Meghalaya,1,General Awareness,2023
Which of the following zones receives vertical rays of the Sun throughout the year?,Tropical,Frigid,Polar,Temperate,0,General Awareness,2023
Which folk dance of Himachal Pradesh was recognised in the Guinness Book of World Records (2015) for having the largest number of participants performing simultaneously at a single venue?,Kang,Kinnauri,Kullu Nati,Kharait,2,General Awareness,2023
In which of the following years did Vodafone start its journey in India?,2005,2007,2002,2009,1,General Awareness,2023
Which of the following important Indian festivals was observed on 13th and 14th March 2025?,Diwali,Holi,Eid-ul-Fitr,Raksha Bandhan,1,General Awareness,2023
"The marked price of a stainless-steel bottle is ₹1,200. After applying two successive discounts of 10% and 5%, what is the selling price?","₹1,026","₹1,116","₹1,106","₹1,082",0,General Awareness,2023
ABCD is a trapezium in which BC || AD and AC = CD. If ∠ABC = 18° and ∠I = ?,51°,37°,50°,42°,3,General Awareness,2023
The average of first 170 even numbers is,1. 172,2. 171,3. 171.5,4. 170.5,1,Mathematics,2024
"Anjali can do a certain piece of work in 30 days. Anjali and Ayushi can together do the same work in 18 days, and Anjali, Ayushi and Ankita can do the same work together in 9 days. In how many days can Anjali and Ankita do the same work together?",45/4,44/5,53/6,35/4,0,Mathematics,2024
"Sakshi bought a toy for ₹456, decorated it at a cost of ₹20 and sold the toy for ₹612. Find the loss or profit percentage.",200/7 % loss,210/7 % loss,200 % profit,200/7 % profit,3,Mathematics,2024
"Two numbers have HCF 6 and LCM 36. If the difference between the two numbers is 30, what are the two numbers?",1. 24 and 54,2. 18 and 48,3. 6 and 36,4. 12 and 42,2,Mathematics,2024
"The product of two positive numbers is 2880. If the first number is five times of the second number, then the sum of the two numbers is:",150,164,137,144,3,Mathematics,2024
What smallest number should be added to 4519 so that the sum is completely divisible by 30?,1,10,13,6,0,Mathematics,2024
Simplify: secβ − 1 / cosecβ − 1,1,2 0,3 secβ,4 cosecβ,0,Mathematics,2024
"A can lay railway track between two given stations in 19 days and B can do the same job in 16 days. With the help of C, they did the job in 5 days only. Then, C alone can do the job in",20 101/129 days,11 101/129 days,9 101/129 days,13 101/129 days,1,Mathematics,2024
"A shirt is marked at ₹900. After a discount of 10%, it is sold. Find the selling price.",₹820,₹810,₹800,₹850,1,Mathematics,2024
"If the interest earned during the 2nd year on a certain sum is ₹6,786, and the rate of interest is 20% per annum compounded annually, then the sum is:","₹28,275","₹28,905","₹28,035","₹27,795",0,Mathematics,2024
Which of the following numbers divides 253118139?,1.5,2.3,3.12,4.8,1,Mathematics,2024
"Given that 40.72 = x, 40.86 = y and x² = y², then the value of z is close to:",1.968,2.843,3.956,4.1198,2,Mathematics,2024
"A number, when increased by 70%, gives 3910. The number is:","1,150","2,600","3,460","4,230",3,Mathematics,2024
"A, B and C invest a sum in the ratio of 63 : 35 : 42, respectively. If they earned a total profit of ₹5,120 at the end of the year, then what is the difference between share of B and C?",₹340,₹274,₹256,₹221,2,Mathematics,2024
The number 245015 is divisible by which of the following?,1.15,2.5,3.2,4.11,1,Mathematics,2024
Train A leaves station M at 7:50 a.m. and reaches station N at 2:50 p.m. on the same day. Train B leaves station N at 9:50 a.m. and reaches station M at 2:30 p.m. on the same day. At what time do Train A and B meet?,5:00 a.m.,9:47 p.m.,10:47 p.m.,11:55 a.m.,3,Mathematics,2024
An equilateral triangle has each side measuring 13 cm; find its perimeter.,1.26 cm,2.30 cm,3.39 cm,4.42 cm,2,Mathematics,2024
"The population of a district is 351000, out of which 164000 are males. 14% of the population is literate. If 14% males are literate, then what percentage of females are literate?",1.17%,2.16%,3.14%,4.12%,2,Mathematics,2024
Simplify the following: 3[(4/3)x^2 - 3]x + 19 - 4(2x + 8x - 14),1. -122x - 110,2. 122x + 110,3. 122x - 110,4. -122x + 110,3,Mathematics,2024
"If 2 times the mother's age is 26 years more than 4 times her daughter's age, and 3 times the daughter's age is 2 years less than the mother's age, then what is the difference (in years) between the ages of the mother and the daughter?",1.24,2.22,3.27,4.25,0,Mathematics,2024
Which of the following ratios is the greatest?,1.22 : 76,2.40 : 51,3.42 : 70,4.44 : 74,1,Mathematics,2023
"The average weight (in kg) of a family of five members whose weights are 40 kg, 49 kg, 56 kg, 75 kg and 39 kg is:",1.52.8,2.51.8,3.50.8,4.53.8,1,Mathematics,2023
Find the circumference (in m) of the largest circle that can be drawn completely inside a rectangle whose dimensions are given as 126 m and 225 m.,1.395,2.401,3.396,4.389,2,Mathematics,2023
"A sells a MacBook to B at a loss of 60% and B sells the MacBook to C at a profit of 25%. If C purchased the MacBook for ₹47,236, then what was the cost (in ₹) of the MacBook for A?","1.94,472","2.94,467","3.94,478","4.94,468",0,Mathematics,2023
"A man goes to Lucknow from Kanpur at a speed of 72 km/hr and returns to Kanpur at speed of 90 km/hr, through the same route. What is his average speed (in km/hr) of the entire journey?",1.80,2.83,3.79,4.76,0,Mathematics,2023
"₹58,300 were divided among A, B and C, such that 4 times of A = 9 times of B = 3 times of C. Find the share of A.","1.₹21,125","2.₹20,901","3.₹20,988","4.₹20,919",2,Mathematics,2023
Find the value of 50^-13 × 50^15 × 50^-11.,1.50^-39,2.50^-39,3.50^-40,4.50^-36,1,Mathematics,2023
"Sapna invested #20,900 on simple interest, partly at 10% per annum and partly at 9% per annum. If she earns equal interests from the two investments after 5 years, then find the sum invested at 10% per annum (in #).","1. 9,902","2. 9,899","3. 9,903","4. 9,900",3,General Intelligence and Reasoning,2023
"Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete? KDU 94, HIQ 107, ENM 120, BSI 133, YXE 146, ?",WDC 161,VCA 159,UDB 159,WBZ 161,1,General Intelligence and Reasoning,2023
"In a certain code language, 'A $ B' means 'A is the wife of B', 'A # B' means 'A is the father of B', 'A & B' means 'A is the brother of B' and 'A % B' means 'A is the mother of B'. How is D related to A if D % E = L # T # A?",Mother's sister,Mother's father,Mother's brother,Mother's mother,3,General Intelligence and Reasoning,2023
"Read the given statement(s) and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusions logically follow(s) from the statement(s). Statements: All meters are compasses. All compasses are scales. Conclusions: (I) Some scales are compasses. (II) All meters are scales.",Only conclusion (I) follows.,Neither conclusion (I) nor (II) follows.,Only conclusion (II) follows.,Both conclusions (I) and (II) follow.,3,General Intelligence and Reasoning,2023
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster)",IN-JG,GL-HF,KP-LJ,MR-NK,0,General Intelligence and Reasoning,2023
Town B is to the south of Town A. Town C is to the west of Town A. Town D is to the west of Town C. Town E is to the north of Town D and also to the south of Town F. What is the position of Town F with respect to Town D?,East,North,South,West,1,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter cluster pairs are alike in a certain way and thus form a group. Which one DOES NOT belong to that group? (NOTE: The odd one out is not based on the number of consonants/vowels or their position in the letter cluster.)",KE-MI,ZT-CX,EY-HC,MG-PK,3,General Intelligence and Reasoning,2024
Nushrat ranked 12th from the bottom and 21st from the top in his class. How many students are there in his class?,33,31,30,32,3,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements.",Neither conclusion (I) nor (II) follows.,Only conclusion (I) follows.,Both conclusions (I) and (II) follow.,Only conclusion (II) follows.,3,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 86 88 92 100 116 ?,148,144,180,132,0,General Intelligence and Reasoning,2024
"If 'A' stands for '÷', 'B' stands for '×', 'C' stands for '+' and 'D' stands for '−', then what will come in place of the question mark (?) in the following equation? (117 A 3) C (119 A 7) C 24 D 6 C (117 A 13) B 2 = ?",100,108,98,92,3,General Intelligence and Reasoning,2024
"Select the set in which the numbers are related in the same way as are the numbers of the following sets. (Note: Operations should be performed on the whole numbers, without breaking down the numbers into their constituent digits, e.g., the operation on 13 such as adding/subtracting/multiplying to 13 must be performed on 13 as a whole. Breaking down 13 into 1 and 3 and then performing mathematical operations on 1 and 3 is not allowed.)","(73, 62, 49)","(61, 48, 35)","(73, 60, 53)","(66, 52, 41)",0,General Intelligence and Reasoning,2023
"Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete? COB 5, EQD 10, GSF 15, IUH 20, ?",JWI 25,KWJ 25,KVJ 22,JVI 22,1,General Intelligence and Reasoning,2023
"CFJP is related to GJMS in a certain way based on the English alphabetical order. In the same way, SVVB is related to WZYE. To which of the given options is EHEK related, following the same logic?",LINJ,LIHN,ILHN,LNHG,2,General Intelligence and Reasoning,2023
Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) @ & 9 4 5 # $ 2 5 @ 8 2 £ @ & # $ £ % & # 1 (Right) How many such symbols are there each of which is immediately preceded by a number and also immediately followed by a symbol?,1,2,3,4,1,General Intelligence and Reasoning,2023
Each of the digits in the number 81374560 is arranged in ascending order from left to right. The position of how many digits will remain unchanged as compared to that in the original number?,Three,Two,One,None,2,General Intelligence and Reasoning,2023
"In a certain code language, 'YOUR' is coded as '4628' and 'UNIT' is coded as '1385'. What is the code for 'U' in the given code language?",1,2,3,8,3,General Intelligence and Reasoning,2023
"ETHG is related to XQMJ in a certain way based on the English alphabetical order. In the same way, CZBE is related to VUGL. To which of the given options is HKQZ related, following the same logic?",AFVG,AVGH,AVGF,AFCV,0,General Intelligence and Reasoning,2024
"A, B, C, D, E, F and G are sitting around a circular table facing the centre. Only one person sits between A and C and D when counted from the right of D. Only one person sits between D and A. Only one person sits between C and E. Only two people sit between F and A. Only one person sits between E and B. How many people sit between E and G when counted from the left of G?",1,2,3,4,1,General Intelligence and Reasoning,2024
"A, B, C, D, J, K and L are sitting around a circular table, facing the centre of the table. L sits to the immediate right of D. Only three people sit between L and C when counted from the left of L. Only three people sit between J and A. A sits to the immediate right of K. How many people sit between D and K when counted from the right of K?",Four,One,Three,Two,1,General Intelligence and Reasoning,2024
"In a certain code language, 'LEFT' is coded as '5427' and 'EARS' is coded as '6153'. What is the code for 'E' in the given code language?",1,4,2,3,3,General Intelligence and Reasoning,2024
"Rajeev starts from Point A and drives 8 km towards east. He then takes a left turn, drives 4 km, turns left and drives 4 km. He then takes a left turn and drives 11 km. He takes another right turn, drives 4 km and stops at Point P. How far (shortest distance) and towards which direction should he drive in order to reach Point A again? (All turns are 90° turns only unless specified.)",9 km towards north,9 km towards south,7 km towards west,7 km towards north,3,General Intelligence and Reasoning,2024
Refer to the following number and symbol series and answer the question that follows. All number are single-digit numbers. Counting to be done from left to right only. (Left) 5 # % 2 ^ @ 3 & 1 $ 7 Ω 5 2 # 6 * 1 9 (Right) How many symbols in the series are immediately preceded by a number and immediately followed by a symbol?,Two,None,More than two,One,0,General Intelligence and Reasoning,2023
"VP 27 is related to YU 32 in a certain way. In the same way, ML 9 is related to PL 14. To which of the following is GC 13 related, following the same logic?",JK 16,JF 18,JF 22,MP 18,1,General Intelligence and Reasoning,2023
What should come in place of the question mark (?) in the given series? 7 7 10 18 33 ?,64,61,69,57,3,General Intelligence and Reasoning,2023
"In a row of 47 students facing North, Sonika is 18th from the left end. If Dhruv is 11th to the right of Sonika, what is Dhruv's position from the right end of the line?",20th,18th,21st,19th,3,General Intelligence and Reasoning,2023
"If 3 is added to each odd digit and 1 is subtracted from each even digit in the number 6243514, what will be difference between the highest and lowest digits in the number thus formed?",8,7,5,6,1,General Intelligence and Reasoning,2023
"What will come in the place of the question mark (?) in the following equation, if '+' and '-' are interchanged and '×' and '÷' are interchanged? 25 + 6 - 8 + 20 × 4 = ?",152,151,154,153,3,General Intelligence and Reasoning,2023
Amit ranked 34th from the top and 45th from the bottom in his class. How many students are there in his class?,1. 78,2. 76,3. 77,4. 79,1,General Intelligence and Reasoning,2024
"What should come in place of the question mark (?) in the given series? 84, 85, 87, 91, 99, ?",1. 125,2. 115,3. 254,4. 511,1,General Intelligence and Reasoning,2024
Identify whether the given statements are correct or incorrect with respect to INDRA 2025.,Both Statements 1 and 2 are incorrect,Statement 2 is correct and 1 is incorrect,Both Statements 1 and 2 are correct,Statement 1 is correct and 2 is incorrect,1,General Awareness,2024
What does the abbreviation 'SRAM' stand for in computer memory?,Synchronous Read Access Memory,Static Random Access Memory,Static Read Access Memory,Standard Random Access Memory,1,General Awareness,2024
Which agency developed the Vikram 3201 and Kalpana 3201 microprocessors for space applications in 2025?,BARC,DRDO,ISRO,BEL,2,General Awareness,2024
The 'Special Food Grain Production Programme (SFPP) on Pulses' was implemented during the year _____.,1972-73,1982-83,1988-89,1968-69,2,General Awareness,2024
Which of the following is a preventive measure for nuclear disasters?,Constructing nuclear plants near residential areas,Ignoring minor radiation leaks to avoid panic,Comprehensive monitoring and regular testing to detect equipment or operator failures,Disposing radioactive waste without treatment,2,General Awareness,2025
Which Article provides for the formation of Ward Committees in Municipal areas?,Article 243R,Article 243Z,Article 243S,Article 243T,2,General Awareness,2025
"What was the name of the Indian contender at the 72nd edition of the Miss World, 2023, pageant, held in Telangana?",Nikita Pawar,Nandini Gupta,Rhea Singha,Tanya Sharma,1,General Awareness,2025
"According to IQAir's World Air Quality Report released in March 2023, which place in Meghalaya is the most polluted globally?",Bymhal,Jowai,Shillong,Tura,0,General Awareness,2025
"In 2023, the Indian government approved the setup of which numbered launch pad at Sriharikota?",Launch Pad One,Launch Pad Zero,Launch Pad Three,Launch Pad Four,2,General Awareness,2025
Rural infrastructure development is crucial to improve connectivity and access to markets and services. Which scheme focuses on providing all-weather road connectivity to unconnected habitations?,Pradhan Mantri Awas Yojana,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,Pradhan Mantri Gram Sadak Yojana,Saansad Adarsh Gram Yojana,2,General Awareness,2025
Which of the following Directive Principles of State Policy is provided under Article 43A of the Indian Constitution?,Right to education,Living wage for workers,Participation of workers in industrial management,Promotion of international peace,2,General Awareness,2025
"Which medical term describes an eating disorder in which energy expenditure is restricted below requirements, leading to significant weight loss?",Bulimia Nervosa,Diabulimia Nervosa,Orthorexia Nervosa,Anorexia Nervosa,3,General Awareness,2023
Which Indian athlete won gold in the women's high jump at the 2025 Asian Athletics Championships?,Nandini Agasara,Poorja Singh,Swapna Barman,Sahana Kumari,1,General Awareness,2023
Which of the following statements about the Peninsular Plateau of India is NOT correct?,"The Peninsular plateau is a tableland composed of the old crystalline, igneous and metamorphic rocks.","The Peninsular plateau consists of three broad divisions, namely, the Northern Highlands, Central Highlands and the Deccan Plateau.",The Deccan Plateau is a triangular landmass that lies to the south of the river Narmada.,The Western Ghats are higher than the Eastern Ghats.,0,General Awareness,2023
Womesh Chandra Bonnerjee represented Calcutta University in the Bengal Legislative Council during _______.,1889 - 1890,1894 - 1895,1899 - 1900,1886 - 1887,1,General Awareness,2023
Which of the following Acts marked the beginning of British parliamentary control over the East India Company?,"Government of India Act, 1858",Charter Act of 1813,Regulating Act of 1773,Pitt's India Act of 1784,2,General Awareness,2023
"Which Indian State contributes the most to commercial floriculture cultivation, accounting for more than 20% of the country's total production in FY 2024?",West Bengal,Chhattisgarh,Tamil Nadu,Gujarat,2,General Awareness,2023
What significant change did the Securities and Exchange Board of India (SEBI) implement in 2025 regarding derivatives trading?,Eliminating the derivatives market entirely,Allowing unrestricted foreign investment in derivatives,Introduction of limits on open positions in index options to reduce trading risks,Lifting all trading regulations to enhance India's appeal to investors,2,General Awareness,2023
Where was Gandhi's method of Satyagraha first evolved and later fully developed as a freedom struggle tool in India?,Kheda,Bombay,South Africa,Champaran,3,General Awareness,2023
The first systematisation of the Jain canonical literature took place at _____.,Pataliputra,Lumbini,Vallabhi,Mathura,0,General Awareness,2023
"The Lion Capital located at Sarnath, which is adopted as the national emblem of the Republic of India, was erected by which of the following Mauryan kings?",Ashoka,Devavarman Maurya,Samprati Maurya,Bindusara,0,General Awareness,2023
"The Golden Temple, which is situated in Amritsar, Punjab, is alternatively known as _____.",Sri Harmandir Sahib,Akal Takht,Anandpur Sahib,Gurudwara Hemkunt Sahib,0,General Awareness,2023
What is the total worth of the Urban Challenge Fund (UCF) announced in the Union Budget 2025-26 to encourage innovative urban development?,₹1 lakh crore,"₹50,000 crore",₹2 lakh crore,₹5 lakh crore,0,General Awareness,2023
"Recipient of President's Medal For Distinguished Service (PSM) on the occasion of Republic Day 2025, Shri Deepak Kumar Kedia belongs to which of the following organisations?",Central Reserve Police Force (CRPF),National Security Guard (NSG),Indo-Tibetan Border Police (ITBP),Central Industrial Security Force (CISF),1,General Awareness,2023
Which geographical feature separates India from Sri Lanka?,Palk Strait and Gulf of Mannar,Strait of Hormuz,Gulf of Kutch,Gulf of Aden,0,General Awareness,2023
Article 19 of the Indian Constitution guarantees six freedoms. Which of the following is NOT one of them?,Freedom from arrest,Freedom to move freely throughout the territory of India,Freedom to form associations or unions,Freedom of speech and expression,0,General Awareness,2024
"What is the rank of the services sector in terms of the top recipient of FDI equity in FY 2024-25, as per the data of Ministry of Commerce and Industry?",Fourth,Third,Second,First,3,General Awareness,2024
"As of March 14, 2024, which of the following is the world’s highest railway bridge?",Jubilee Bridge,Vikramshila Setu,Nehru Setu Bridge,Chenab Bridge,3,General Awareness,2024
Who among the following became the first Indian chess player to qualify for the Esports World Cup (EWC) 2025 through the second leg of the Champions Chess Tour?,Arjun Erigaisi,Praggnanandhaa Rameshbabu,Pentala Harikrishna,Bhubaneswar Kumar,0,General Awareness,2024
What was the Supreme Court’s decision regarding the Kamla Nehru Memorial Trust’s land allotment in Uttar Pradesh?,Directed the state to provide alternative land,Upheld the land allotment due to considerable public benefit assessment,Ordered compensation to the Trust,Cancelled the land allotment due to lack of public benefit assessment,3,General Awareness,2024
"Who, in 1816, modified Newton’s formula for the speed of sound to take into account adiabatic compression in air?",Galileo Galilei,Hermann von Helmholtz,Pierre-Simon Laplace,Lord Rayleigh,2,General Awareness,2024
Which of the following is classified as micronutrients?,Fats,Carbohydrates,Vitamins,Proteins,2,General Awareness,2024
"According to the exercise brief published by PIB, from 10-23 March 2025, Exercise Khanjar-XII, the Joint Special Forces Drill between India and Kyrgyzstan focused primarily on:",counter-terrorism,naval fleet manoeuvres,air defense operations,amphibious warfare,0,General Awareness,2023
"Under the Legal Services Authorities Act, 1987, Lok Adalats have no jurisdiction to settle which of the following cases?",Motor accident claims,Civil disputes pending in court,Divorce and non-compoundable criminal cases,Compoundable criminal offences,2,General Awareness,2023
"The Chagos Archipelago, recently in the news, is a disputed territory between which two countries?",France and Mauritius,United States and United Kingdom,United Kingdom and Mauritius,United Kingdom and India,2,General Awareness,2023
Who initiated the Sampoorna Grameen Rozgar Yojana (SGRY)?,Central Government,Private Sector,Panchayati Raj Institutions,State Governments,0,General Awareness,2023
"Which of the following Indian states has all three types of physical divisions – plateau, plains, and coastal plains?",Tamil Nadu,Uttar Pradesh,Madhya Pradesh,Punjab,0,General Awareness,2023
The Right to Public Services legislation was first introduced by which Indian state?,Maharashtra,Madhya Pradesh,Bihar,Karnataka,1,General Awareness,2023
The initial form of Odissi dance was performed by women serving in temples. What was their traditional designation?,Devadasis,Maharanis,Maibis,Maharis,3,General Awareness,2023
Which of the following is considered a poor file management practice on a computer system?,"Creating separate folders for documents, images and videos",Saving temporary files in unrelated and scattered folders,Giving files meaningful and descriptive names,Using nested folders to organise large sets of data,1,General Awareness,2023
Which of the following numbers is divisible by 14?,"1,6436939","2,6794266","3,7048048","4,7132968",2,General Awareness,2023
The average of first 155 even numbers is,1. 157,2. 155.5,3. 156.5,4. 156,3,General Awareness,2023
"Zaheeran travels 284 km at 52 km/hr, the next 210 km at 30 km/hr and the next 330 km at 66 km/hr. What is his average speed (in km/hr) for the whole journey? (Round off your answer to two decimal places)",1. 36.24,2. 40.17,3. 43.89,4. 48.89,2,General Awareness,2023
"An item marked for ₹39,250 is sold at ₹32,499 after allowing two successive discounts of 4% and 10%. Find the value of x.",1. 10,2. 9,3. 12,4. 8,3,General Awareness,2023
"The HCF and the LCM of two numbers are 6 and 264, respectively. If one of the numbers is 66, find the other one.",1. 24,2. 105,3. 35,4. 115,0,General Awareness,2023
Find the value of: 26^-19 x 26^18 x 26^3,1. 26^-40,2. 26^-35,3. 26^-45,4. 26^-34,3,General Awareness,2023
"The population of a district is 368000, out of which 220000 are males. 62% of the population is literate. If 62% males are literate, then what percentage of females are literate?",1. 59%,2. 63%,3. 62%,4. 60%,1,Mathematics,2024
"If 20% of first number is equal to four-fifths of second number, what is the ratio of first number to the second number?",1. 6 : 2,2. 1 : 6,3. 4 : 1,4. 7 : 4,2,Mathematics,2024
A bus travelling at 48 km/hr completes a journey in 9 hours. What should be its speed to cover the same distance in 12 hours?,1. 26 km/hr,2. 29 km/hr,3. 37 km/hr,4. 36 km/hr,3,Mathematics,2024
The value of √256 + √0.0256 - √4.41 is ____.,1. 1.7.4,2. 13.37,3. 14.06,4. 13.18,2,Mathematics,2024
"The marks scored by 10 students are given below. 13, 20, 15, 18, 19, 12, 11, 13, 10. The mean of the given data is:",1. 19,2. 15,3. 13,4. 20,2,Mathematics,2024
The value of 5/2 + (1/(1 + 3/8)) - 3/5 is,1. 13/219,2. 32/215,3. 21/214,4. 289/110,3,Mathematics,2024
The curved surface area of a right circular cylinder is 5280 cm² and its height is 14 cm. Take π = 22/7.,"1.45,550","2.65,660","3.50,440","4.55,440",3,Mathematics,2024
By how much is 65% of 75 greater than 2/5 of 55?,1.26.75,2.20.75,3.23.75,4.24.75,0,Mathematics,2024
Find the surface area of a sphere whose diameter is equal to 14 cm.,1.1104π cm²,2.34π cm²,3.1102π cm²,4.196π cm²,3,Mathematics,2024
"6 men can complete a piece of work in 9 days, while 6 women can do it in 6 days. In how many days can 2 women and 3 men complete this work?",1.11 days,2.12 days,3.9 days,4.10 days,2,Mathematics,2024
Find the value of x satisfying: 2(3x² - 6) - 3(2x² + 8x - 5) = 14.,1.19,2.24,3.13,4.17,3,Mathematics,2024
"An item is marked for ₹18,000. A shopkeeper gives two successive discounts of 5% and 10% respectively. What is the final price?","1.₹14,390","2.₹16,390","3.₹17,390","4.₹15,390",3,Mathematics,2024
"If 2 times Mary's present age is 27 years more than 5 times Dia's present age, and 7 times Dia's present age is 9 years less than Mary's present age, then what is the difference (in years) between the ages of Mary and Dia?",1. 13,2. 17,3. 15,4. 11,2,Mathematics,2023
"The number of prime numbers lying between 430 and 438, both included, is:",1. 3,2. 4,3. 2,4. 6,2,Mathematics,2023
Find the value of (1 - sec²θ) / (sin²θ × cos²θ).,-1,2. tanθ,3. 1,4. tan²θ,0,Mathematics,2023
The product of two consecutive positive natural numbers is 812. The greater of the two numbers is:,1. 24,2. 27,3. 29,4. 42,2,Mathematics,2023
"In ΔABC, BD ⊥ AC at D and ∠DBC = 25°. E is a point on BC such that ∠CAE = 80°. What is the measure of ∠AEB?",1. 146°,2. 139°,3. 140°,4. 145°,3,Mathematics,2023
"Priya, Deepak, and Simran invest ₹1,370, ₹1,500, and ₹1,230, respectively, to start a business. If the profit at the end of the year is ₹1,010, then what is the share of Simran in the profit?",1. ₹300,2. ₹304,3. ₹306,4. ₹303,3,Mathematics,2023
"Pipe A can fill a tank in 16 hours, pipe B can fill the same tank in 28 hours and pipe C can fill the same tank in 8 hours. The time taken by them to fill the same tank if they operate together is:",12/25 hours,8/25 hours,4/25 hours,11/25 hours,2,Mathematics,2023
"93 light bulbs were purchased for ₹93, and 19 light bulbs broke in transit. The trader sold the remaining light bulbs at ₹1.40 each. Find his profit.",₹10.10,₹10.60,₹10.30,₹10.20,1,Mathematics,2023
"Sapna invested ₹20,400 on simple interest, partly at the rate of 14% per annum and partly at the rate of 11% per annum. If she earns equal interests from the two investments after 9 years, then find the sum invested at the rate of 14% per annum (in ₹).","8,977","8,975","8,976","8,979",2,Mathematics,2023
The simple interest on a certain sum for 8/7 years at the rate of 6.8%,"₹20,745","₹20,761","₹20,765","₹20,748",3,Mathematics,2023
"A shopkeeper lists the price of a fan at 25% above its cost price and offers a 16% discount on its list price. If he earns a profit of ₹140, then what is the list price (in ₹) of the fan?","3,500","3,345","3,702","3,257",0,Mathematics,2023
"In a certain code language, 'A $ B' means 'A is the wife of B'; 'A # B' means 'A is the father of B'; 'A @ B' means 'A is the brother of B' and 'A % B' means 'A is the son of B'. How is S related to P if 'S $ Y # R = U % P'?",Son's wife's father,Son's wife's brother,Son's wife's mother,Son's wife's sister,0,General Intelligence and Reasoning,2024
"EGLU is related to IKOX in a certain way based on the English alphabetical order. In the same way, DWXG is related to YAAJ. To which of the given options is GIGP related, following the same logic?",KJSM,KMJS,KMSJ,KSDF,1,General Intelligence and Reasoning,2024
"In a certain code language, 'GIRL' is coded as '5317' and 'INKS' is coded as '2146'. What is the code for 'I' in the given code language?",1,2,4,3,0,General Intelligence and Reasoning,2024
Nikhil ranked 18th from the top and 36th from the bottom in his class. How many students are there in his class?,52,54,55,53,3,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements. Statements: All lions are tigers. No lion is a cat. Conclusions (I): Some cats are lions. Conclusions (II): Some tigers are lions.",Both conclusions (I) and (II) follow.,Neither conclusion (I) nor (II) follows.,Only conclusion (II) follows.,Only conclusion (I) follows.,2,General Intelligence and Reasoning,2024
Niku ranked 24th from the top and 13th from the bottom in his class. How many students are there in his class?,37,35,36,34,2,General Intelligence and Reasoning,2024
Each of the digits in the number 8243514 is arranged in ascending order from left to right. The position of how many digits will remain unchanged as compared to that in the original number?,None,Two,Three,One,3,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 450 455 461 466 472 477 483 ?,488,490,489,487,0,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to the group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",HY - DD,QE - NJ,IL - FQ,WR - TW,1,General Intelligence and Reasoning,2024
"Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete? HMII 3, JQK 6, LQM 9, NSO 12, ?",OUQ 15,MTP 20,PTP 20,PUQ 15,3,General Intelligence and Reasoning,2024
"If 4 is added to the first digit of every number, in how many numbers will the first digit be exactly divisible by the second digit?",1. 3,2. 1,3. 0,4. 2,2,General Intelligence and Reasoning,2024
"In a certain code language, 'SAID' is coded as '6175' and 'DIMS' is coded as '7691'. What is the code for 'M' in the given code language?",1. 1,2. 9,3. 7,4. 6,1,General Intelligence and Reasoning,2024
