question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
In which year was the 2030 Agenda for Sustainable Development adopted by the United Nations Member States?,2015,2014,2017,2016,0,General Awareness,2025
"During the Later Vedic period, which of the following animals was specifically mentioned as useful for ploughing swampy land?",Buffalo,Elephant,Horse,Cow,0,General Awareness,2025
"Sharing borders with the states of Kerala and Karnataka, Mudumalai National Park of Tamil Nadu is a part of which biosphere reserve of India?",Nilgiri Biosphere Reserve,Kangchendzonga Biosphere Reserve,Agasthyamalai Biosphere Reserve,Nokrek Biosphere Reserve,0,General,2023
The DBT funded project that first produced a GMP-grade viral vector for Indian CAR-T research was supported under which flagship scheme?,Biotechnology Ignition Grant,Atal Jai Anusandhan,National Biopharma Mission,PACE,2,General,2023
Which of the following rivers flows through a small part of the Great Indian Desert?,Ravi,Satluj,Luni,Mahanadi,2,General,2023
"In 2023, who launched 'Srijanam', India's first indigenous automated bio medical waste treatment plant?",HD Kumaraswamy,Manohar Lal,Nitin Jairam Gadkari,Dr. Jitendra Singh,3,General,2023
Which theory suggests that planets were formed out of a cloud of material surrounding a young Sun?,Collision Theory,Binary Star Hypothesis,Nebular Hypothesis,Big Bang Theory,2,General,2023
"How many facial bones are there in the face skeleton, each with its own anatomical landmarks and stage of development?",14,21,11,18,0,General,2023
Which of the following statements about the Right to Property in India is correct?,It was completely abolished by the Forty-Second Amendment (1976).,It is a fundamental right under Article 31 (now omitted).,It is a fundamental right under Article 32 of the Constitution.,It is no longer a fundamental right.,3,General,2023
"What was the theme for National Safety Day, observed on 4 March 2023?",Safety Awareness: A National Priority,Safety & Well-being Crucial for Viksit Bharat,Safety First: Every Day,Secure India: Secure Future,1,General,2023
"In the first phase of the Green Revolution (approximately mid 1960s upto mid 1970s), the use of HYV seeds was restricted to the more affluent states such as _______.","Maharashtra, Uttar Pradesh and Assam","Punjab, Andhra Pradesh and Tamil Nadu","Bihar, Odisha and West Bengal","Rajasthan, Gujarat and Kerala",1,General,2023
Who is the Governor of the Reserve Bank of India as of May 2023?,Raghuram Rajan,Urjit Patel,Sanjay Malhotra,Shaktikanta Das,2,General,2023
"The first human gene therapy experiment, which began in September 1990, used a retroviral vector against which deficiency?",Mitochondrial encephalopathy,3-Methylglutaconic Aciduria,X-Linked Adrenoleukodystrophy,Adenosine deaminase,3,General,2023
"Which advanced radar systems are being deployed under a ₹5,700-crore contract signed in March 2024 and operational from April 2025 to strengthen India's air defence network?",Over-the-horizon radars,Passive electronically scanned array radars,Synthetic aperture radars,High-Power Radars (HPR),3,General,2023
"As per the Ministry of Defence's Year End Review 2024 (PIB), what is the number of C-295 aircraft to be indigenously built by TASL in India?",40,65,56,72,0,General,2023
"In which event, at The Ten 2023 athletics meet in San Juan Capistrano, USA, did Gulveer Singh break his own national record in March 2023?","10,000m race",Marathon,"3,000m steeplechase","5,000m race",0,General,2023
The Koyna Project is constructed on a tributary of the River Krishna in which state?,Andhra Pradesh,Karnataka,Maharashtra,Tamil Nadu,2,General,2023
Which of the following sectors contributed significantly to India's GDP growth after the 1991 reforms?,Services sector,Cottage industries,Public sector enterprises,Agriculture,0,General,2023
"In which of the following years was the Bharatmala Pariyojana approved by the Government of India covering a length of 34,800 km to improve connectivity and reduce logistics cost in the country?",2017,2014,2024,2022,0,General,2023
Which of the following constitutional mechanisms ensures political representation for Scheduled Castes and Scheduled Tribes in the Indian Parliament?,Article 341 and 342,Article 15 and 16,Article 330 and 332,Article 338 and 339,2,General,2023
Andhra Pradesh was formed in 1953 by separating Telugu-speaking areas from which of the following states?,Kerala,Tamil Nadu,Madras,Karnataka,2,General,2023
"Which part of the Indian Constitution deals with special provisions for Scheduled Castes, Scheduled Tribes, and other backward classes?",Part IX,Part III,Part IV,Part XVI,3,General,2023
"After a hundred years of conquest and administration, the English East India Company faced a massive uprising that took place in _______.",1854,1857,1855,1856,1,General,2023
What minimum legal practice experience did the Supreme Court mandate on 20 May 2025 for applicants to the Civil Judge (Junior Division) post?,One year of legal practice experience,Four years of legal practice experience,Three years of legal practice experience,Two years of legal practice experience,2,General,2023
In which of the following years did Vasco da Gama land in Calicut on the Malabar Coast for the second time?,1505,1509,1511,1502,3,General,2023
Which of the following Bengali writers composed the famous novel Anandamath?,Sarat Chandra Chattopadhyay,Bankim Chandra Chattopadhyay,Kazi Nazrul Islam,Rabindranath Tagore,1,General,2023
"The UK-India Free Trade Agreement that concluded on 6 May 2023, primarily aims to reduce barriers to which sector listed first in its conclusion summary?",Legal services,Digital trade and e-commerce,Medicinal products,Agricultural commodities,1,General,2023
"As of December 2024, what is the age eligibility of player to avail facility of Retired Sportsperson Empowerment Training (RESET) Programme?",25-55 years,20-50 years,20-45 years,18-40 years,1,General,2023
Which of the following correctly differentiates between RAM and ROM?,"ROM performs all logical operations, while RAM controls input devices",ROM is used to store data temporarily during program execution,RAM is permanent memory while ROM is volatile,"RAM loses its content when the computer is turned off, while ROM retains its data",3,General,2023
In which of the following years was Delhi Metro Rail Corporation established?,1992,1995,1997,1999,1,General,2023
"Which of the following numbers divides 2,45,015?",12,11,15,5,3,Mathematics,2023
"A number, when increased by 80%, gives 2520. The number is:",1700,2800,1400,4200,2,Mathematics,2023
What smallest number should be added to 74978 so that the sum is completely divisible by 24?,1. 22,2. 17,3. 20,4. 26,0,General,2024
"Pipe A can fill a tank in 16 hours, pipe B can fill the same tank in 21 hours and pipe C can fill the same tank in 15 hours. The time taken by them to fill the same tank if they operate together is:",5.65 hours,7.65 hours,6.65 hours,8.65 hours,0,General,2024
"A shopkeeper lists the price of a fan at 50% above its cost price and offers a 30% discount on its list price. If he earns a profit of ₹91, then what is the list price (in ₹) of the fan?","2,774","3,025","2,897","2,730",3,General,2024
"The marked price of an article is ₹4,500. It is sold at successive discounts of 25% and 20%. Find the selling price of the article (in ₹).","2,750","2,800","2,700","2,800",2,General,2024
"If the interest earned during the 2nd year on a certain sum is ₹1,760, and the rate of interest is 10% per annum compounded annually, then the sum is:","₹16,000","₹16,405","₹15,495","₹15,990",0,General,2024
"If the third proportional of 9 and 51 be x, then what is the value of x?",291,289,288,287,1,General,2024
Arjun and Malaika have to travel from Delhi to Kanpur in their respective cars. Arjun is driving at 140 km/hr while Malaika is driving at 65 km/hr. Find the time taken by Malaika to reach Kanpur if Arjun takes 13 hours.,1. 26 hours,2. 28 hours,3. 34 hours,4. 25 hours,1,General,2024
Find the value of: {428 ÷ (17 + 8 × ( 5 – 7 ))}.,1. 429,2. 426,3. 428,4. 427,2,General,2024
A toy designer is making a spherical ball with a radius of 6 cm. What is the surface area of the ball? (Use π = 3.14),1. 282.74 cm²,2. 678.24 cm²,3. 301.44 cm²,4. 452.16 cm²,3,General,2024
"Yash travels 152 km at 38 km/hr, the next 189 km at 63 km/hr and the next 375 km at 75 km/hr. What is his average speed (in km/hr) for the whole journey? (Round off your answer to two decimal places)",1. 51.83,2. 58.22,3. 59.67,4. 70.03,2,General,2024
"The cost of 9 pens and 9 pencils is ₹252. If the cost of a pen decreases by ₹1 and the cost of a pencil increases by ₹3, then the cost of 13 pens and 3 pencils is ₹100. What is the original cost of 16 pens and 10 pencils?",1. ₹514,2. ₹513,3. ₹517,4. ₹516,0,General,2024
"Anand, Preeti and Dev invested ₹1,310, ₹1,350 and ₹1,140, respectively to start a business. If the profit at the end of the year is ₹1,630, what is Dev’s share of the profit?",1. ₹489,2. ₹488,3. ₹487,4. ₹490,0,General,2024
The sum of two numbers is 121 and their L.C.M. is 264. What are the two numbers?,"1. 81, 40","2. 93, 28","3. 88, 33","4. 86, 35",2,General,2024
"Five solid cubes, each of volume 512000 cm³, are joined end to end to form a cuboid. What is the lateral surface area (in cm²) of the cuboid?",1.76949,2.76800,3.76903,4.76820,1,General,2024
"If one interior angle of a regular polygon is greater than its exterior angle by 144°, how many sides does the polygon have?",1.21,2.18,3.20,4.19,2,General,2024
"The LCM of 4³ × 6² × 15, 4² × 15² × 19 and 6³ × 15² × 19² is:",1.2⁵ × 3⁵ × 5² × 19²,2.2⁵ × 3³ × 5² × 19²,3.2⁶ × 3⁴ × 5² × 19²,4.2³ × 3⁵ × 5² × 19²,1,General,2024
"6 years ago, the age of a father was 54 years more than twice his son's age. After how many years, from now, will he be twice his son's age?",1.20,2.24,3.28,4.23,2,General,2024
"A dealer wants to make a 20% profit on a smart watch that costs him ₹1,575. To attract customers, he plans to offer a 10% discount on the listed price. At what price should he list the smart watch to achieve his desired profit?","1.₹1,910","2.₹1,890","3.₹1,654","4.₹2,100",3,General,2024
What is the value of the given expression? sin²A - cos²A + 1 / 1 + tan²A,2sin⁴A,sin A.cos A / tan²A,2sin²A + tan²A,2sin A.cos A,0,General,2024
"Anshuman and Kunal together invested ₹48,300 in a business. At the end of the year, out of a total profit of ₹14,000, Kunal's share was ₹6,000. What was the difference between their investments?","₹6,900","₹7,640","₹5,940","₹6,500",0,General,2023
"The population of a district is 374000, out of which 170000 are males. 78% of the population is literate. If 72% males are literate, then what percentage of females are literate?",83%,80%,81%,85%,0,General,2023
Find the simple interest (in ₹) if a sum of ₹400 is borrowed for 4.5 years at 20% per annum rate of interest.,1360,460,340,410,0,General,2023
Mahesh bought some pens at the rate of ₹150 a dozen. He sold them for ₹44 each. His profit percentage is ______%.,256,252,254,250,1,General,2023
Simplify: x(8x - 7) + 7(x² - 5) + 14,15x² - 7x - 21,15x² - 7x + 21,15x² - 7x + 21,15x² - 7x + 21,1,General,2023
The value of 8² + √9² - 4√25 - 14 is,149,39,45,48,1,General,2023
"The marks scored by 10 students are given below. 19, 15, 10, 14, 13, 18, 19, 19, 11, 11. The mode of the data is:",15,19,10,20,1,General,2023
"Pipe P can fill 5/7 part of a tank in 30 hours, and pipe Q can fill 4/7 part of the tank in 30 hours. Both P and Q were kept open for 7 hours, then both were closed. Pipe P emptied the water in the tank in 9 hours. Pipes P, Q and R together can fill the tank in how many hours?",63 hours,78 hours,82 hours,56 hours,0,General Intelligence and Reasoning,2023
"The average weight of Gopal, Akshay and Atul is 45 kg. If the average weight of Gopal and Akshay is 44 kg and that of Akshay and Atul is 46 kg, then the weight of Akshay (in kg) is:",55,45,60,65,1,General Intelligence and Reasoning,2023
Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) 3 4 7 # # $ * E & 2 £ & £ 2 $ E @ 3 # 7 & (Right) How many such symbols are there each of which is immediately preceded by a number and also immediately followed by a symbol?,1,2,3,4,3,General Intelligence and Reasoning,2023
"BGLY is related to DJNB in a certain way based on the English alphabetical order. In the same way, ISTK is related to LVVN. To which of the given options is PBZT related, following the same logic?",RWYI,REBW,RWBY,REWB,1,General Intelligence and Reasoning,2023
"If 3 is added to each even digit and 1 is subtracted from each odd digit in the number 91526374, what will be the sum of second digit from left and third digit from right in the new number thus formed?",6,10,14,2,3,General Intelligence and Reasoning,2023
"If 4 is added to each odd digit and 2 is subtracted from each even digit in the number 7453186, how many digits will appear more than once in the new number thus formed?",Two,Three,None,One,0,General Intelligence and Reasoning,2023
"Seven people, J, K, L, M, N and Q, are sitting in a row, facing north. Only J sits to the left of Q. Only four people sit between J and I. Only K sits between M and N, and M is not an immediate neighbor of I. Who sits at the extreme right of the line?","J, Q","L, M","J, L","K, I",2,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 3 12 30 57 93 ?,135,130,138,140,2,General Intelligence and Reasoning,2024
"Rishabh starts from Point A and drives 9 km towards west. He then takes a left turn, drives 8 km, turns left and drives 15 km. He then takes a right turn and drives 6 km. He takes a final right turn, drives 6 km and stops at Point P. How far (shortest distance) and towards which direction should he drive in order to reach Point A again? (All turns are 90° turns only unless specified)",14 km towards south,16 km towards west,4 km towards north,16 km towards east,2,General Intelligence and Reasoning,2024
Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete? JMR11 KNS20 LOT29 MPU38 ?,NQU42,NOV47,NQU46,NOV56,1,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-clusters are alike in a certain way and thus form a group. Which letter-cluster DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",RXCJ,KQVC,OUZG,NTYE,3,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series based on the English alphabetical order? WVH BAM GFR LKW ?,QEW,QBP,QPB,QWE,2,General Intelligence and Reasoning,2024
Mr. Ito ranked 49th from the bottom and 56th from the top in his class. How many students are there in his class?,107,105,104,103,2,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusions (if any) logically follow(s) from the statements.

Statements:
All letters are mails.
All schedules are mails.

Conclusions:
(I) Some letters are schedules.
(II) Some mails are schedules.",Both conclusions (I) and (II) follow.,Only conclusion (I) follows.,Neither conclusion (I) nor (II) follows.,Only conclusion (II) follows.,3,General Intelligence and Reasoning,2024
"What should come in place of the question mark (?) in the given series?

85 86 88 92 100 ?",115,116,117,118,1,General Intelligence and Reasoning,2024
"If 'A' stands for '+', 'B' stands for 'x', 'C' stands for '÷' and 'D' stands for '-', what will come in place of the question mark (?) in the following equation?

48 D 14 B 3 C 27 A 3 = ?",24,31,37,15,3,General Intelligence and Reasoning,2024
"Rahul starts from Point Y and drives 14 km towards the north. He then takes a right turn, drives 6 km, then he turns right and drives 20 km. He then takes a right turn and drives 12 km. He takes a final right turn, drives 6 km and stops at Point Z. How far (shortest distance) and towards which direction should he drive in order to reach Point Y again? (All turns are 90-degree turns only unless specified.)",4 km towards the east,6 km towards the east,4 km towards the north,6 km towards the north,1,General Intelligence and Reasoning,2024
"In a certain code language, A $ B means 'A is the son of B', A # B means 'A is the brother of B', A @ B means 'A is the wife of B', A % B means 'A is the father of B'. Based on the above, how is E related to N if 'E @ F $ G + M + N'?",Daughter,Wife,Brother's wife,Brother's daughter,2,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which is the one that DOES NOT belong to that group? (NOTE: The odd one out is not based on the number of consonants/vowels or their position in the letter cluster.)",TM-WR,OH-RN,JC-MH,NG-OL,0,General Intelligence and Reasoning,2024
"Seven boxes V, W, X, Y, Z, Q and R are kept one over the other but not necessarily in the same order. Only two boxes are kept below Z. Only one box is kept above W. Only one box is kept between W and Q.V is kept immediately above Y. R is kept at some place below X. How many boxes are kept between X and V?",Four,One,Two,Three,0,General Intelligence and Reasoning,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter cluster.)",PT-KQ,SW-NU,JN-EK,MQ-HN,1,General Intelligence and Reasoning,2024
"In the following triads, each group of letters is related to the subsequent one following a certain logic. Select from the given options, the one which follows the same logic.",TOWN - NWTO - TWON,CLAW - WACL - CALW,HALF - FLHA - ALHF,PICK - KCPI - PCIK,2,General Intelligence and Reasoning,2024
"Seven people, L, J, K, L, P, Q and R are sitting in a row, facing north. Only J sits to the left of P. Only four people sit between J and I. Only K sits between R and Q. R is not an immediate neighbour of I. Who sits at the extreme right end of the line?",R,L,I,K,0,General Intelligence and Reasoning,2024
"Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) 8 & % 1 @ 2 $ 3 § 9 & 6 Ω 4 # 5 * £ 7 (Right) If all the symbols are dropped from the series, which of the following will be fourth from the right?",1 2,2 4,3 9,4 6,3,General Intelligence and Reasoning,2024
"In a certain code language, 'BLUE' is coded as '7524' and 'UNIT' is coded as '1356'. What is the code for 'U' in the given code language?",1 6,2 1,3 2,4 5,3,General Intelligence and Reasoning,2024
"Seven boxes L, M, N, O, P, Q and R are kept one over the other but not necessarily in the same order. M is kept fourth from the bottom. O is placed immediately below M. Q is placed immediately above R. P is the topmost box. M is placed immediately below L. Which box is placed at the bottom?",L Q,R,L,Q,1,General Intelligence and Reasoning,2024
"RUWU is related to YBDB in a certain way based on the English alphabetical order. In the same way, JMOM is related to QTVI. To which of the given options is TWYW related, following the same logic?",ADED,AEEL,ACED,ADFD,3,General Intelligence and Reasoning,2024
"What will come in the place of the question mark (?) in the following equation, if '+' and '-' are interchanged and 'x' and '÷' are interchanged? 57 x 3 - 11 + 7 + 42 = ?",54,52,50,56,0,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusions logically follow(s) from the statements. Statements: Some notes are books. All books are tables. Conclusion (I): Some notes are tables. Conclusion (II): All tables are books.",Only conclusion (I) follows.,Only conclusion (II) follows.,Both conclusions (I) and (II) follow.,Neither conclusion (I) nor (II) follows.,0,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 27 31 40 56 81 ?,118,120,117,121,2,General Intelligence and Reasoning,2024
"In a certain code language, 'reading is important' is written as 'pb mk lo' and 'is it raining' is coded as 'jo mt pb'. How is 'it' coded in the given language?",jo,lo,mk,pb,3,General Intelligence and Reasoning,2024
"Select the set in which the numbers are related in the same way as are the numbers of the following sets. (NOTE: Operations should be performed on the whole numbers, without breaking down the numbers into their constituent digits. E.g. 13 – Operations on 13 such as adding to/subtracting from/multiplying with 13 can be performed. Breaking down 13 into 1 and 3 and then performing mathematical operations on 1 and 3 is not allowed.) (16, 63, 16) (36, 111, 4) (47, 144, 4) (44, 155, 20) (48, 162, 15) (1, 12, 6)","47, 144, 4","44, 155, 20","48, 162, 15","1, 12, 6",0,General Intelligence and Reasoning,2024
Which of the following subjects is addressed by the Tenth Schedule of the Indian Constitution?,Panchayati Raj system,Emergency powers and procedures,Provisions related to anti-defection,Official languages,2,General Awareness,2024
When and where were the flight trials of the ULPGM-V3 missile conducted?,"Odisha (Chandipur), 26 July 2025","Andhra Pradesh (Kurnool), 25 July 2025","Rajasthan (Pokhran), 24 July 2025","Maharashtra (Pune), 27 July 2025",1,General Awareness,2024
"What is the name of India's first satellite, which completed 50 years in April 2025 and was launched in 1975?",INSAT-1A,Rohini,Aryabhata,Bhaskara,2,General Awareness,2024
"Which architectural style, introduced by the British, combines Indian traditional elements with Gothic, Victorian and Neo-Classical forms?",Gothic Revival,Colonial Neo-Baroque,Indo-Saracenic,Victorian Classical,2,General Awareness,2024
Which of the following years saw the foundation of the Home Rule League and its phenomenal success?,1906,1919,1909,1916,3,General Awareness,2024
Which of the following pairs correctly classifies one input and one output device?,"Microphone – Input device, Monitor – Output device","Mouse – Output device, Scanner – Input device","Keyboard – Output device, Printer – Input device","Joystick – Output device, Speaker – Input device",0,General Awareness,2023
India is set to invest over US$360 billion in renewable energy and infrastructure by,2034,2032,2030,2036,2,General Awareness,2023
"Which of the following Bollywood actresses was honoured at the Inaugural Global Vanguard Honour, 2025, held in Los Angeles?",Prabha Ranta,Deepika Padukone,Nitanshi Goel,Priyanka Chopra,3,General Awareness,2023
Who is responsible for the administration of Union Territories like Chandigarh and Lakshadweep?,Governors of neighbouring states,The President of India,Elected Chief Ministers of the Union Territories,Prime Minister of India directly,1,General Awareness,2023
Which crop is primarily associated with plantation agriculture in Kerala?,Cotton,Rubber,Rice,Wheat,1,General Awareness,2023
Which of the following is NOT a Central Armed Police Force?,Indo-Tibetan Border Police,Central Reserve Police Force,Border Security Force,Criminal Investigation Department,3,General Awareness,2023
Events of Khelo India Youth Games 2025 were NOT conducted in which of the following cities of Bihar?,Bhagalpur,Gaya,Samastipur,Raigir,3,General Awareness,2023
Who authored the book 'The Churn' that was released in April 2025?,Bandaru Dattatreya,Dr. Vijay Darda,Himanshu Roy,Arvind Kumar,1,General Awareness,2023
The Himalayan Mountain ranges stretch in a west-east direction from the Indus River to which major Indian river?,Brahmaputra,Yamuna,Godavari,Ganga,0,General Awareness,2023
"During the colonial period in India, the Vernacular Press Act (1878) was introduced by",Lord Ripon,Lord Lytton,Lord Wellesley,Lord Curzon,1,General Awareness,2023
In which year was the Industrial Policy Resolution that gave importance to the public sector adopted?,1956,1951,1991,1947,0,General Awareness,2023
Which city in Assam issued evacuation notices to residents in landslide-prone areas due to continuous rainfall in June 2023?,Jorhat,Silchar,Dibrugarh,Guwahati,3,General Awareness,2023
The process by which traits are passed from parents to offspring is known as,mutation,heredity,hybridisation,linkage,1,General Awareness,2023
When was the National Human Rights Commission (NHRC) established to investigate cases of human rights violations in India?,12 October 1993,20 February 1996,10 December 1994,15 January 1995,0,General Awareness,2023
Alauddin Khilji introduced the Dagh and Huliya systems to control the army. What was Huliya associated with?,Horse branding,Soldier's description,Soldier's salary,Land revenue,1,General Awareness,2023
"As per India Justice Report 2025, how many judges does India have per million population?",1. 10,2. 17,3. 21,4. 15,3,General Awareness,2025
"Which anniversary of the Meter Convention was celebrated by the Department of Consumer Affairs, Government of India on 20 May 2025?",1. 150th,2. 100th,3. 155th,4. 125th,0,General Awareness,2025
Pick the INCORRECT statement regarding the life of Birsa Munda.,1. He had joined the local missionary school.,2. He advised his people to bring back the Golden Age of Mundas.,3. Birsa was born in the forests of Madhya Pradesh.,4. He urged people to destroy the Europeans.,2,General Awareness,2025
"Under the Ayushman Vaya Vandana Yojana launched in October 2024, every Indian citizen aged 70 years and above will get free health insurance up to what amount every year?",1. ₹3 lakh,2. ₹7.5 lakh,3. ₹8 lakh,4. ₹5 lakh,3,General Awareness,2025
"According to the Henley Passport Index released in January 2025, what is India’s global passport ranking for 2025?",1. 80th,2. 83rd,3. 88th,4. 85th,2,General Awareness,2025
Why is air transport less popular for freight movement in India?,"1. It is expensive and ideal only for light, high-value goods",2. It is slower and less efficient than water transport.,3. It is widely available in rural and remote villages.,4. It requires minimal infrastructure for operation.,0,General Awareness,2025
What is the function of the keyboard shortcut Ctrl + Z?,1. Zoom the window,2. Undo the last action,3. Redo an action,4. Close the window,1,General Awareness,2025
"In which of the following years was the Saansad Adarsh Gram Yojana (SAGY) launched with the aim to translate the comprehensive vision of Mahatma Gandhi about an ideal Indian village into reality, keeping in view the present context?",2006,2009,2014,2012,2,General Awareness,2023
What is the preferred unit used in the scientific literature to express the ratio between two sound intensities?,Pascal,Hertz,Decibels,Phon,2,General Awareness,2023
Which artist was recognised as the Global Recording Artist of the Year 2024 by the IFPI?,Taylor Swift,Beyonce,Olivia Rodrigo,Billie Eilish,0,General Awareness,2023
Which military division had become rare in warfare during the Gupta period despite being part of the army in texts?,Elephant,Cavalry,Chariot,Infantry,2,General Awareness,2023
Which sector was the dominant contributor to India's GDP immediately after independence in 1947?,Industrial,Services,Agriculture,Foreign trade,2,General Awareness,2023
In which of the following groups of states are the lower regions of the Western Ghats located where subtropical vegetation is found?,"Kerala, Tamil Nadu and Karnataka","Gujarat, Maharashtra and Kerala","Andhra Pradesh, Kerala and Goa","Madhya Pradesh, Maharashtra and Karnataka",0,General Awareness,2023
Which AI-driven anti-drone system was deployed at India's largest naval port in Karnataka in May 2023 to protect critical infrastructure?,SkyNet,Indrajaal Infra,AeroGuard,DroneShield,1,General Awareness,2023
For the implementation of which of the following did the Central Government estimate a total requirement of ₹2.31 lakh crore over a five year period from 2010-11 to 2014-15?,Right to Information Act,Right to Education Act,Ayushman Bharat Scheme,Sarva Shiksha Abhiyan,1,General Awareness,2023
Which of the following is a feature of the State Legislative Council (Vidhan Parishad) in India?,It can be dissolved like the Legislative Assembly,It is a permanent body and cannot be dissolved,The people directly elect their members,It has a fixed term of five years,1,General Awareness,2023
The western coastal plains are an example of:,submerged coast,tectonic coast,volcanic coast,emergent coast,0,General Awareness,2023
India launched chip-enabled biometric e-passports in ______ cities as of April 2025.,11,9,15,13,3,General Awareness,2023
Which of the following organizations is tasked with providing certification to films before their public release in India?,National Film Development Corporation,Central Board of Film Certification,"Children's Film Society, India",Film and Television Institute of India,1,General Awareness,2023
The exchange of gases at the alveoli and tissues occurs by which process?,Osmosis,Decantation,Diffusion,Filtration,2,General Awareness,2023
"A man goes to Nagpur from Visakhapatnam at a speed of 3 km/hr and returns to Visakhapatnam at speed of 6 km/hr, through the same route. What is his average speed (in km/hr) of the entire journey?",1.3,2.7,3.4,4.2,2,Mathematics,2023
The product of two consecutive natural numbers is 110. The greater of the two numbers is:,11,3,7,5,0,Mathematics,2023
Train A leaves station M at 6:30 AM and reaches station N at 3:30 PM on the same day. Train B leaves station N at 8:30 AM and reaches station M at 2:30 PM on the same day. Find the time when trains A and B meet.,11:38 AM,11:08 AM,12:18 PM,11:18 AM,3,Mathematics,2023
"In ΔABC, BD ⊥ AC at D and ∠DBC = 58°. E is a point on BC such that ∠CAE = 16°. What is the measure of ∠AEB?",48°,52°,42°,49°,0,Mathematics,2023
"X, Y and Z invest a sum in the ratio of 16 : 82 : 2, respectively. If they earned a total profit of ₹2,750 at the end of the year, then what is the difference between share of Y and Z?","₹2,122","₹2,200","₹2,191","₹2,159",1,Mathematics,2023
Simplify: (tan²β cosec²β) / (1 + tan²β),tan β,sec β,-1,1,3,Mathematics,2023
The value of 7² + √8² - 5√16 - 14 is,1.26,2.31,5.23,4.16,2,Mathematics,2023
The number 716710501 is divisible by which of the following?,20,13,19,16,1,Mathematics,2023
"Pipe A can fill a tank in 11 hours, pipe B can fill the same tank in 24 hours and pipe C can fill the same tank in 19 hours. The time taken by them to fill the same tank if they operate together is:",371/929 hours,9/929 hours,7/929 hours,371/929 hours,0,Mathematics,2024
The value of √121 + √0.0225 − √5.76 =,8.75,12.62,5.35,13.05,0,Mathematics,2024
"A book is sold at three successive discounts of 8%, 4%, and 5%. If the marked price of the book is ₹3,125, find its net selling price.","₹2,465","₹2,594","₹2,492","₹2,622",3,Mathematics,2024
By how much is 65% of 75 greater than 3/5 of 45?,18.75,21.75,19.75,15.75,1,Mathematics,2024
"8 years ago, the age of a father was 20 years more than twice his son's age. After how many years, from now, will he be twice his son's age?",1.7,2.16,3.12,4.8,2,Mathematics,2024
"The HCF and LCM of two numbers are 72 and 432, respectively. If one of the numbers is 144, find the other one.",216,144,72,288,0,Mathematics,2024
"The number of prime numbers between 374 and 381, both included, is:",1,2,3,4,0,Mathematics,2023
"Find the simple interest (in ₹) on ₹1,200 at an interest rate of 4% per month for 10 months.",₹40,₹480,₹60,₹80,0,Mathematics,2023
The average of first 163 even numbers is,163.5,165,164,164.5,2,Mathematics,2023
"Palavi bought a toy for ₹578, decorated it at a cost of ₹14 and sold the toy for ₹476. Find the loss or profit percentage.",725/37 % profit,725/37 % loss,735/37 % profit,725/37 % loss,1,Mathematics,2023
Find the mean proportional of 96 and 54.,72,75,71,69,0,Mathematics,2023
"By selling an article at 5/14 of its actual selling price, Hitesh incurs a loss; then the profit percentage is:",21.8%,22.5%,23.1%,23.7%,0,Mathematics,2023
"M and N start a business. M invests ₹17,000 more than N for 6 months and N invests for 5 months. M's share is ₹498 more than that of N, out of a total profit of ₹1,494. Find the capital contributed by M.","₹42,500","₹42,661","₹42,326","₹42,304",0,Mathematics,2023
Simplify the given expression. x(7x - 5) + 3(x² - 2) + 14,10x² - 5x - 8,-10x² - 5x - 8,-10x² - 5x + 8,10x² - 5x + 8,3,Mathematics,2023
"The current population of a town is 14,568. It increases by 25% and 50% in two successive years but decreases by 50% in the third year. What is the population of the town at the end of the third year?","14,565","14,563","14,568","14,573",2,Mathematics,2023
"The average weight of a family of five members whose weights are 40 kg, 49 kg, 56 kg, 75 kg and 37 kg is:",51.4 kg,53.4 kg,52.4 kg,50.4 kg,0,Mathematics,2023
What is the volume of a cylindrical container that has a base radius of 3.5 metres and a height of 5.2 metres?,68.6 π cubic metres,65.4 π cubic metres,67.3 π cubic metres,63.7 π cubic metres,3,Mathematics,2023
"If the interest earned during the 2nd year on a certain sum is ₹6,534, and the rate of interest is 20% per annum compounded annually, then the sum is:","₹28,205","₹28,030","₹27,630","₹27,225",3,Mathematics,2023
